Solution, Implementation Cost ($), Opportunity Cost ($), Particulate Nitrogen (t/yr), Sediment Production (t/yr), Total Nitrogen, Dissolved Nitrogen (t/yr)
12231-of-13898,69374109,6197361.5,207,110686,348,141
12232-of-13898,65384080,6142591.54,207,110705,350,143
12233-of-13898,280459395,30673079.97,200,105874,298,97
12234-of-13898,58496023,5413494.49,210,109738,350,140
12235-of-13898,114272539,8835903.62,207,111283,326,119
12236-of-13898,114225685,8835903.62,207,111292,326,119
12237-of-13898,114177600,8832017.42,207,111292,326,119
12238-of-13898,122529645,10484960.4,202,106188,330,128
12239-of-13898,122462452,10475154.86,202,106190,330,128
12240-of-13898,104633384,9361026.67,206,107413,337,131
12241-of-13898,101443101,6608854.25,206,106750,342,136
12242-of-13898,95647437,6278123.75,207,106918,344,137
12243-of-13898,121066106,7776954.18,207,110922,333,126
12244-of-13898,120801926,7768296.26,207,110939,333,126
12245-of-13898,120008727,7661816.08,207,111076,333,126
12246-of-13898,273213287,23090579.72,200,107906,301,101
12247-of-13898,266625432,20998151.81,201,108304,302,101
12248-of-13898,263795936,20846004.43,201,108381,303,102
12249-of-13898,227425099,18646464.55,203,106844,308,105
12250-of-13898,223591646,18522856.4,203,106868,309,105
12251-of-13898,92981677,8335846.52,207,110907,336,129
12252-of-13898,147832382,13053449.48,202,107663,322,121
12253-of-13898,147015053,12354962.29,202,107903,324,122
12254-of-13898,47168564,3491626.05,213,110753,360,147
12255-of-13898,46213963,3300269.59,213,110771,361,149
12256-of-13898,166868074,12577166.85,205,108895,319,114
12257-of-13898,164526041,12360855.71,205,108926,320,115
12258-of-13898,170905954,12313725.57,204,110738,317,112
12259-of-13898,160285696,11873960.84,204,110783,317,113
12260-of-13898,160241545,11866111.65,204,110783,318,113
12261-of-13898,159539733,11747835.32,204,110800,318,114
12262-of-13898,158036501,11594756.33,204,110835,318,114
12263-of-13898,156118705,11216339.23,204,110839,318,114
12264-of-13898,164057238,13956052.49,204,110891,314,110
12265-of-13898,162417602,13926659.7,204,110900,314,110
12266-of-13898,257551888,21532405.8,203,107729,304,101
12267-of-13898,163069400,13567068.66,204,110807,316,112
12268-of-13898,161919494,13482103.43,204,110823,316,112
12269-of-13898,69832629,6908227.1,210,109224,348,138
12270-of-13898,69566140,6886372.32,210,109296,348,138
12271-of-13898,66987429,6772812.4,210,109352,348,138
12272-of-13898,51253031,3261316.19,212,109522,360,148
12273-of-13898,51165316,3250874.84,212,109654,361,148
12274-of-13898,47549703,3008254.72,212,109676,363,150
12275-of-13898,45566815,2952624.88,213,110295,365,151
12276-of-13898,43556882,2823570.62,214,110528,365,152
12277-of-13898,43306966,2785252,214,110534,365,152
12278-of-13898,55851047,4040961.65,209,110872,360,151
12279-of-13898,55572998,4040961.65,209,110951,361,151
12280-of-13898,54779799,3934481.47,210,111088,361,151
12281-of-13898,265120473,28550242.36,200,107047,298,99
12282-of-13898,263980493,28392809.11,200,107090,299,99
12283-of-13898,258968962,27753763.86,200,107108,299,99
12284-of-13898,165660900,14945056.07,203,110801,313,110
12285-of-13898,143342275,11795001.3,206,111186,319,113
12286-of-13898,143092359,11756682.68,206,111191,319,113
12287-of-13898,143090073,11756659.2,206,111192,319,113
12288-of-13898,179318041,16570153.7,201,105946,314,113
12289-of-13898,175902622,16288565.12,201,105975,315,114
12290-of-13898,164753096,15405649.93,201,106122,315,115
12291-of-13898,155810062,14388065.86,202,106868,318,116
12292-of-13898,83325194,5903640.76,211,111017,344,133
12293-of-13898,83281042,5895791.57,211,111017,345,134
12294-of-13898,83265896,5895791.57,211,111021,345,134
12295-of-13898,81060745,5658776.96,211,111049,345,134
12296-of-13898,165447526,14210874.19,204,110874,314,110
12297-of-13898,285352739,23820458.66,201,105916,302,101
12298-of-13898,285298824,23819916.58,201,105925,302,101
12299-of-13898,312606074,25446013.04,205,107871,301,96
12300-of-13898,312319071,25446013.04,205,107949,301,96
12301-of-13898,311509279,25301340.96,205,107954,301,96
12302-of-13898,307381317,25042126.17,205,107975,301,96
12303-of-13898,214056545,22618344.63,204,110893,305,101
12304-of-13898,206798493,21521914.96,204,110926,305,102
12305-of-13898,206593458,21504476.34,204,110928,305,102
12306-of-13898,206072668,21477770.83,204,111040,306,102
12307-of-13898,206052741,21473693.24,204,111043,306,102
12308-of-13898,204764819,21055743.27,204,111074,307,103
12309-of-13898,156297453,13197180.05,201,107584,322,120
12310-of-13898,107185799,7798815.98,209,109852,336,127
12311-of-13898,103162563,7420022.68,209,109958,337,128
12312-of-13898,101493276,7327564.45,209,109993,338,129
12313-of-13898,101238073,7291475.55,209,110055,338,129
12314-of-13898,136718408,10856538.26,201,106847,329,128
12315-of-13898,262054535,26576739.33,204,107748,303,99
12316-of-13898,159444368,14245450.3,205,108496,318,113
12317-of-13898,159249689,14223595.52,205,108564,318,113
12318-of-13898,147367887,11998657.05,201,107674,323,122
12319-of-13898,125277396,10005540.7,201,108015,325,124
12320-of-13898,125205587,10005540.7,201,108018,325,124
12321-of-13898,111944966,7822058.84,206,110305,332,127
12322-of-13898,110864131,7798731.17,206,110320,333,128
12323-of-13898,110691627,7758641.39,206,110348,333,128
12324-of-13898,75291914,5917706.78,206,109374,345,139
12325-of-13898,74263885,5881823.14,207,109843,346,140
12326-of-13898,71653085,5739428.4,207,109884,347,141
12327-of-13898,70997072,5730251.35,207,110035,348,141
12328-of-13898,105583755,10214496.45,204,106566,340,137
12329-of-13898,102524011,9703721.33,204,106614,344,140
12330-of-13898,99602996,9501330.82,204,106690,345,141
12331-of-13898,273850476,25687821.12,193,100003,299,106
12332-of-13898,155967005,16920742.46,203,107633,318,115
12333-of-13898,154002453,14595382.41,203,107777,319,116
12334-of-13898,218301499,21493562.89,203,110940,306,103
12335-of-13898,217334653,21483638.21,203,110950,306,103
12336-of-13898,238101722,26165408.76,202,106532,304,102
12337-of-13898,237950112,26165408.76,202,106554,304,102
12338-of-13898,229377494,25688160.94,202,106760,305,103
12339-of-13898,243896957,20050848.28,208,110166,309,102
12340-of-13898,242592019,19808429.78,208,110204,309,102
12341-of-13898,241442113,19723464.55,208,110208,309,102
12342-of-13898,105860912,8804710.2,203,108103,335,132
12343-of-13898,105825554,8797236.96,203,108103,335,132
12344-of-13898,134960602,13630756.29,202,106919,320,118
12345-of-13898,133991303,13503726.85,203,107191,322,119
12346-of-13898,131900180,13359558.77,203,107347,323,120
12347-of-13898,131482076,13318589.16,204,107521,324,120
12348-of-13898,62790083,8369600.54,209,108549,353,143
12349-of-13898,128773459,11788399.79,202,106353,327,125
12350-of-13898,128510272,11751039.22,203,106400,328,125
12351-of-13898,89221532,6403475.5,207,110650,339,132
12352-of-13898,89041982,6401833.37,207,110717,339,132
12353-of-13898,88634183,6374397.84,207,110741,339,132
12354-of-13898,84976572,6096574.75,207,110799,340,133
12355-of-13898,83083953,6001693.23,208,110987,341,133
12356-of-13898,54610340,4426168.73,208,110669,360,151
12357-of-13898,53798649,4355945.68,208,110670,361,152
12358-of-13898,53682419,4319501.5,209,110909,362,153
12359-of-13898,195270726,16091846.83,200,108070,311,111
12360-of-13898,195255580,16091846.83,200,108075,311,111
12361-of-13898,188953485,15629543.09,201,108135,314,114
12362-of-13898,72005234,5820354.28,207,108883,352,145
12363-of-13898,71146363,5650491.14,207,108958,353,146
12364-of-13898,299856749,28710757.82,193,101282,291,98
12365-of-13898,299044979,28706794.82,193,101301,292,99
12366-of-13898,285988294,26922541.57,194,101553,295,101
12367-of-13898,85490614,7088120.21,206,109450,342,136
12368-of-13898,80486630,6576275.73,207,109990,344,136
12369-of-13898,275407998,27444224.4,202,107712,300,98
12370-of-13898,71775317,5269597.69,208,110595,347,139
12371-of-13898,70990946,5156310.09,209,110723,348,140
12372-of-13898,70332086,4994800.26,209,110987,350,140
12373-of-13898,66674475,4716977.17,209,111045,350,141
12374-of-13898,276705190,23668349.51,204,107418,302,99
12375-of-13898,272700684,23576120.59,204,107641,304,100
12376-of-13898,271103430,23509724.79,204,107677,304,100
12377-of-13898,130993756,11536389.03,204,106330,328,125
12378-of-13898,129831839,11350304.67,204,106356,329,126
12379-of-13898,126956612,10843631.31,204,106564,330,126
12380-of-13898,122149095,10480842.99,204,106582,331,126
12381-of-13898,108672852,9671208.28,204,106722,333,128
12382-of-13898,164504140,13570550.42,202,106157,323,121
12383-of-13898,125149953,12471793.47,204,109711,326,121
12384-of-13898,123280859,12276310.96,204,109720,326,122
12385-of-13898,46373397,4125969.06,213,111121,358,145
12386-of-13898,46086394,4125969.06,213,111198,358,145
12387-of-13898,45438446,3483070.34,214,111264,360,146
12388-of-13898,44762967,3440630.79,214,111282,360,147
12389-of-13898,43693815,3360961.56,214,111325,362,148
12390-of-13898,192277241,18160793.63,200,106564,311,111
12391-of-13898,121639601,8909846.31,204,108783,330,126
12392-of-13898,119964607,8872980.28,204,108810,330,126
12393-of-13898,119288651,8810766.61,204,108889,331,127
12394-of-13898,97038278,7229042.64,205,107449,351,147
12395-of-13898,96923174,7229042.64,205,107461,351,147
12396-of-13898,86120459,6588922.52,204,107685,352,148
12397-of-13898,77435895,6420183.23,204,107814,352,148
12398-of-13898,77193144,6383823.11,204,107814,353,148
12399-of-13898,146360841,11336292.59,203,109551,322,119
12400-of-13898,146345695,11336292.59,203,109555,322,119
12401-of-13898,145638077,10985867.93,203,109555,322,119
12402-of-13898,197993696,15030550.63,204,110604,311,108
12403-of-13898,195553408,15005791.28,204,110631,311,108
12404-of-13898,109637634,9224633.48,209,110536,332,123
12405-of-13898,105825271,8877220.82,209,110602,333,124
12406-of-13898,105722816,8876280.08,209,110737,333,124
12407-of-13898,104657012,8753078.42,209,110750,333,124
12408-of-13898,104622240,8753078.42,209,110755,333,124
12409-of-13898,158459954,13787716,204,110840,316,112
12410-of-13898,157213220,13763329.15,204,110846,316,112
12411-of-13898,156258619,13571972.69,204,110853,316,112
12412-of-13898,188464123,18026741.88,201,106524,311,110
12413-of-13898,179408140,15002275.64,201,106577,318,117
12414-of-13898,182783278,14421916.81,201,106544,318,117
12415-of-13898,182616558,14390413.87,201,106546,319,117
12416-of-13898,115347540,7420466.86,207,105580,346,139
12417-of-13898,114972636,7379220.03,207,105584,346,139
12418-of-13898,113756231,7325512.94,208,106518,348,140
12419-of-13898,51481232,4993894.81,210,109358,358,148
12420-of-13898,300310788,27236274.4,198,103764,298,99
12421-of-13898,273547571,26168495.72,203,110265,301,98
12422-of-13898,121417535,8872596.1,205,111221,329,123
12423-of-13898,121201637,8870627.31,205,111257,329,123
12424-of-13898,125998964,14171663.36,200,106139,331,131
12425-of-13898,119814970,9241415.39,204,108806,331,127
12426-of-13898,108166030,8847817.46,204,109018,333,129
12427-of-13898,219102342,20916219.43,198,105473,306,108
12428-of-13898,215753708,18470253.68,198,105719,308,109
12429-of-13898,122435720,9241927.98,208,110679,329,121
12430-of-13898,122405272,9241849.28,208,110679,329,121
12431-of-13898,236017244,25606262.02,203,109485,304,101
12432-of-13898,225355151,22595289.96,204,109649,305,102
12433-of-13898,146401357,11317403.04,207,110054,321,114
12434-of-13898,144623842,11086458.37,208,110450,323,115
12435-of-13898,144432549,11081222.71,208,110511,323,115
12436-of-13898,144397634,11081129.57,208,110514,323,115
12437-of-13898,142913077,10973025.83,208,110543,324,115
12438-of-13898,155154035,11110525.42,206,110396,321,115
12439-of-13898,154364564,11046512.83,206,110432,321,116
12440-of-13898,69022455,4645901.79,210,108582,354,143
12441-of-13898,65080179,4473562.87,210,108597,354,144
12442-of-13898,60333030,3968631.85,210,108718,356,146
12443-of-13898,60279115,3968089.77,210,108728,356,146
12444-of-13898,60238356,3959431.85,210,108728,356,146
12445-of-13898,59536544,3841155.52,210,108744,357,146
12446-of-13898,106649864,12432062.64,204,108301,330,126
12447-of-13898,89337559,9290158.74,206,108837,338,132
12448-of-13898,88519205,9176418.32,206,108875,339,133
12449-of-13898,87812600,9169960.5,206,109032,339,133
12450-of-13898,84136353,8734287.95,207,109218,340,133
12451-of-13898,298232489,28937788.54,203,106709,299,97
12452-of-13898,134794012,12309902.81,200,107550,325,124
12453-of-13898,285351680,30360521.29,189,97803,292,103
12454-of-13898,267800027,28759366.85,189,97885,293,104
12455-of-13898,255748577,27610682.57,192,99480,297,105
12456-of-13898,157851673,12022386.45,201,107530,322,121
12457-of-13898,155982579,11826903.94,201,107538,323,121
12458-of-13898,146824677,11619846.03,201,107688,323,122
12459-of-13898,141627536,9965526.83,204,110241,324,119
12460-of-13898,216705426,18351436.23,206,108979,309,103
12461-of-13898,213460985,18177910.18,207,109606,311,104
12462-of-13898,211985576,18025907.03,208,110353,312,104
12463-of-13898,174684761,13857888.36,206,110041,316,110
12464-of-13898,120618847,9753785.76,202,109009,325,122
12465-of-13898,117409468,9618119.23,204,109626,329,125
12466-of-13898,116910066,9577952.96,204,109626,329,126
12467-of-13898,156569389,13672794.23,200,104536,325,125
12468-of-13898,147282408,11554331.29,202,105308,330,128
12469-of-13898,146460197,11478382.76,202,105480,330,128
12470-of-13898,145000936,11401040.36,202,105567,332,129
12471-of-13898,91501769,6659725.95,208,111066,339,131
12472-of-13898,91489514,6658358.4,208,111066,339,131
12473-of-13898,89672707,6539558.59,208,111072,339,131
12474-of-13898,128345471,12956597.97,202,108447,325,124
12475-of-13898,137647868,12004583.73,203,107319,324,121
12476-of-13898,135015917,11926873.72,203,107424,324,121
12477-of-13898,134180910,11783638.62,203,107433,324,121
12478-of-13898,140438199,12403760.49,202,105399,326,125
12479-of-13898,134417644,11857499.12,202,105503,326,125
12480-of-13898,213902011,20937590.04,204,111115,306,103
12481-of-13898,213890268,20933996.51,204,111115,306,103
12482-of-13898,104581635,9766405.01,206,109938,331,125
12483-of-13898,104194289,8754060.77,206,110276,332,126
12484-of-13898,104152882,8746373.19,206,110277,332,126
12485-of-13898,195618097,14446917.16,199,105209,319,120
12486-of-13898,195331094,14446917.16,199,105287,319,120
12487-of-13898,96590575,6792635.87,213,111214,340,127
12488-of-13898,95343841,6768249.02,213,111231,340,127
12489-of-13898,95044487,6724310.93,213,111292,341,129
12490-of-13898,137620157,13179384.86,203,105672,327,124
12491-of-13898,152377407,14802473.6,205,110641,317,112
12492-of-13898,313482749,28137784.21,202,107259,297,95
12493-of-13898,57959283,5443957.75,208,110410,357,149
12494-of-13898,57932488,5443957.75,208,110415,357,149
12495-of-13898,57469760,5415707.1,208,110418,358,150
12496-of-13898,57463694,5414944.2,208,110419,358,150
12497-of-13898,211905600,20120502.52,204,110907,307,103
12498-of-13898,211861449,20112653.33,204,110907,307,103
12499-of-13898,282826374,27685680.52,192,99446,299,107
12500-of-13898,248708183,20783695.18,206,109712,307,101
12501-of-13898,165646895,12513898.14,203,109423,318,115
12502-of-13898,163374614,12187963.38,203,109646,319,116
12503-of-13898,164264864,14328936.49,200,104439,324,124
12504-of-13898,163904360,14298725.6,200,104443,324,124
12505-of-13898,157860472,13256681.55,200,104474,325,125
12506-of-13898,259655510,22150567.15,200,107980,302,101
12507-of-13898,185190602,14452033.91,201,105492,317,116
12508-of-13898,182067032,14332045.75,202,105582,320,119
12509-of-13898,161968355,13853361.52,202,108910,319,117
12510-of-13898,150390930,12575863,202,108958,320,118
12511-of-13898,231362474,20102135.91,208,110173,310,102
12512-of-13898,182291331,17755911.01,200,106836,311,111
12513-of-13898,179197969,16828064.26,200,107110,314,113
12514-of-13898,177907023,16734430.18,201,107352,315,114
12515-of-13898,169503935,15662880.55,201,107448,316,115
12516-of-13898,70219836,6921745.62,207,110042,344,138
12517-of-13898,69408066,6917782.62,207,110078,345,138
12518-of-13898,69402017,6917568.28,207,110079,345,138
